CODIGO,,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
09-01-0497-46,,09-004,QUETZALTENANGO,QUETZALTENANGO,"COLEGIO PRE-UNIVERSITARIO ""FRIEDRICH VON HAYEK""",21 AVENIDA 3-61 ZONA 3,77658430,DINA RUBI GONZALEZ DE LEON,EDILSAR ROCAEL VAZQUEZ PEREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),QUETZALTENANGO
09-01-0499-46,,09-002,QUETZALTENANGO,QUETZALTENANGO,COLEGIO PRIVADO MIXTO LICEO MODERNO,7A. AVENIDA 6-45 ZONA 1,77619336,ROSEMERY GUADALUPE PIEDRASANTA GRAMAJO DE SIGUENZA,MARCO TULIO JUÁREZ MÉNDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),QUETZALTENANGO
09-01-0501-46,,09-041,QUETZALTENANGO,QUETZALTENANGO,COLEGIO MIXTO EL FARO,2 AVENIDA 4-57 ZONA 10,77655462,WILSON RANFERI SIGUENZA LOPEZ,AROLDO DANILO CALDERON CALDERON,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),QUETZALTENANGO
09-01-0503-46,,09-041,QUETZALTENANGO,QUETZALTENANGO,"COLEGIO PREUNIVERSITARIO ""EL PRADO""",1RA. CALLE 25-21 ZONA 1 COLONIA EL CERVECERO,77651040,WILSON RANFERI SIGUENZA LOPEZ,JORGE LUIS RUBIO MAZARIEGOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),QUETZALTENANGO
09-01-0505-46,,09-041,QUETZALTENANGO,QUETZALTENANGO,COLEGIO ALBERT EINSTEIN,15 AVENIDA 0-42 ZONA 1,77683352,WILSON RANFERI SIGUENZA LOPEZ,AMILCAR LEONEL AGUILAR RIVERA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),QUETZALTENANGO
09-01-0506-46,,09-041,QUETZALTENANGO,QUETZALTENANGO,COLEGIO PRIVADO MIXTO GANDHI,"37 AVENIDA Y DIAGONAL 3, 36-89 ZONA 1",37197335,WILSON RANFERI SIGUENZA LOPEZ,JUAN LUIS LÓPEZ MARIN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),QUETZALTENANGO
09-01-0508-46,,09-005,QUETZALTENANGO,QUETZALTENANGO,COLEGIO PREUNIVERSITARIO SALAMANCA,12 AVENIDA 10-27 ZONA 1,77631095,JUAN CARLOS RONQUILLO DE LEON,CLAUDIA MARLENI ELÍAS COJULUN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),QUETZALTENANGO
09-01-0511-46,,09-002,QUETZALTENANGO,QUETZALTENANGO,"""ESCUELA PRIVADA MIXTA DE FORMACIÓN ARTÍSTICA QUETZALTENANGO""",11 CALLE 19-19 ZONA 1,77616142,ROSEMERY GUADALUPE PIEDRASANTA GRAMAJO DE SIGUENZA,ROSALIO EDUARDO SAC RACANCOJ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),QUETZALTENANGO
09-01-0513-46,,09-036,QUETZALTENANGO,QUETZALTENANGO,COLEGIO INTEGRAL EMPRESARIAL POR MADUREZ-CIEM-,CANTÓN XECARACOJ TIERRA COLORADA BAJA,77619224,OBDULIO ROLANDO RUIZ ALVA,ELVIN EZEQUIAS ALONZO PÉREZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),QUETZALTENANGO
09-01-0515-46,,09-041,QUETZALTENANGO,QUETZALTENANGO,"COLEGIO PRIVADO MIXTO ""SUPERACIÓN""",14 AVENIDA 0-69 ZONA 1,77652224,WILSON RANFERI SIGUENZA LOPEZ,LUCRECIA JANET RECINOS DE LEÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),QUETZALTENANGO
